Route,Year,Shannon,Lati,Longi,GEOID,county
67,2000,2.493042762,39.6821707,-83.8036269,39057,Greene
67,2010,2.497414292,39.6821707,-83.8036269,39057,Greene
67,2011,2.805484103,39.6821707,-83.8036269,39057,Greene
67,2004,2.501502324,39.6821707,-83.8036269,39057,Greene
72,2005,3.673611473,39.1991097,-82.6751939,39079,Jackson
72,2013,3.627812641,39.1991097,-82.6751939,39079,Jackson
72,2004,3.669132362,39.1991097,-82.6751939,39079,Jackson
72,2009,3.438307913,39.1991097,-82.6751939,39079,Jackson
72,2007,3.579272178,39.1991097,-82.6751939,39079,Jackson
72,2003,3.649870732,39.1991097,-82.6751939,39079,Jackson
72,2010,3.460880767,39.1991097,-82.6751939,39079,Jackson
72,2002,3.699130163,39.1991097,-82.6751939,39079,Jackson
72,2011,3.350318772,39.1991097,-82.6751939,39079,Jackson
72,2012,3.432787202,39.1991097,-82.6751939,39079,Jackson
72,2006,3.606994446,39.1991097,-82.6751939,39079,Jackson
72,2008,3.476506717,39.1991097,-82.6751939,39079,Jackson
73,2010,3.517475272,39.3166637,-82.1680389,39009,Athens
73,2002,3.640028994,39.3166637,-82.1680389,39009,Athens
73,2005,3.57267335,39.3166637,-82.1680389,39009,Athens
73,2012,3.591152493,39.3166637,-82.1680389,39009,Athens
73,2008,3.400883397,39.3166637,-82.1680389,39009,Athens
73,2001,3.486411118,39.3166637,-82.1680389,39009,Athens
73,2009,3.585815211,39.3166637,-82.1680389,39009,Athens
73,2007,3.56639766,39.3166637,-82.1680389,39009,Athens
73,2013,3.605630892,39.3166637,-82.1680389,39009,Athens
73,2006,3.429556675,39.3166637,-82.1680389,39009,Athens
73,2000,3.699666275,39.3166637,-82.1680389,39009,Athens
73,2004,3.547284793,39.3166637,-82.1680389,39009,Athens
73,2011,3.567119406,39.3166637,-82.1680389,39009,Athens
73,2003,3.43776224,39.3166637,-82.1680389,39009,Athens
74,2013,3.589505479,39.1527143,-82.9107789,39131,Pike
74,2000,3.602934578,39.1527143,-82.9107789,39131,Pike
74,2011,3.665317448,39.1527143,-82.9107789,39131,Pike
74,2001,3.585334046,39.1527143,-82.9107789,39131,Pike
74,2007,3.610540577,39.1527143,-82.9107789,39131,Pike
74,2003,3.559671341,39.1527143,-82.9107789,39131,Pike
74,2009,3.682191571,39.1527143,-82.9107789,39131,Pike
74,2006,3.503623496,39.1527143,-82.9107789,39131,Pike
74,2005,3.495464855,39.1527143,-82.9107789,39131,Pike
74,2010,3.473439615,39.1527143,-82.9107789,39131,Pike
74,2004,3.430974588,39.1527143,-82.9107789,39131,Pike
74,2008,3.578324191,39.1527143,-82.9107789,39131,Pike
74,2012,3.623278759,39.1527143,-82.9107789,39131,Pike
75,2003,3.342239974,39.9655986,-82.5305735,39089,Licking
75,2007,3.174528433,39.9655986,-82.5305735,39089,Licking
75,2000,2.793199934,39.9655986,-82.5305735,39089,Licking
75,2010,2.994984554,39.9655986,-82.5305735,39089,Licking
75,2002,3.150409275,39.9655986,-82.5305735,39089,Licking
75,2012,3.085598192,39.9655986,-82.5305735,39089,Licking
75,2011,3.216884185,39.9655986,-82.5305735,39089,Licking
75,2004,3.006622791,39.9655986,-82.5305735,39089,Licking
75,2008,3.219568298,39.9655986,-82.5305735,39089,Licking
75,2006,2.953319331,39.9655986,-82.5305735,39089,Licking
75,2009,3.17777928,39.9655986,-82.5305735,39089,Licking
75,2005,3.253383478,39.9655986,-82.5305735,39089,Licking
75,2013,3.128181413,39.9655986,-82.5305735,39089,Licking
75,2001,3.267720637,39.9655986,-82.5305735,39089,Licking
76,2007,3.659677978,39.2309737,-82.2853793,39163,Vinton
76,2008,3.654709467,39.2309737,-82.2853793,39163,Vinton
76,2003,3.640720416,39.2309737,-82.2853793,39163,Vinton
76,2009,3.448958143,39.2309737,-82.2853793,39163,Vinton
76,2002,3.615163214,39.2309737,-82.2853793,39163,Vinton
76,2010,3.572947945,39.2309737,-82.2853793,39163,Vinton
76,2011,3.444455679,39.2309737,-82.2853793,39163,Vinton
76,2000,3.597602676,39.2309737,-82.2853793,39163,Vinton
76,2006,3.519035463,39.2309737,-82.2853793,39163,Vinton
76,2001,3.590257859,39.2309737,-82.2853793,39163,Vinton
76,2005,3.560500188,39.2309737,-82.2853793,39163,Vinton
76,2012,3.619615123,39.2309737,-82.2853793,39163,Vinton
76,2013,3.688327646,39.2309737,-82.2853793,39163,Vinton
76,2004,3.699716342,39.2309737,-82.2853793,39163,Vinton
80,2003,3.343352306,39.4158977,-81.3554829,39167,Washington
80,2012,3.513991321,39.4158977,-81.3554829,39167,Washington
80,2010,3.369350879,39.4158977,-81.3554829,39167,Washington
80,2009,3.339415996,39.4158977,-81.3554829,39167,Washington
80,2005,3.371309949,39.4158977,-81.3554829,39167,Washington
80,2001,3.349332312,39.4158977,-81.3554829,39167,Washington
80,2002,3.506658842,39.4158977,-81.3554829,39167,Washington
80,2000,3.468087884,39.4158977,-81.3554829,39167,Washington
80,2008,3.441509695,39.4158977,-81.3554829,39167,Washington
80,2004,3.255992498,39.4158977,-81.3554829,39167,Washington
80,2013,3.419634855,39.4158977,-81.3554829,39167,Washington
80,2006,3.447852411,39.4158977,-81.3554829,39167,Washington
80,2007,3.325066896,39.4158977,-81.3554829,39167,Washington
80,2011,3.286203776,39.4158977,-81.3554829,39167,Washington
82,2000,3.652850023,39.2701767,-81.8827139,39009,Athens
82,2006,3.472247262,39.2701767,-81.8827139,39009,Athens
82,2009,3.541412413,39.2701767,-81.8827139,39009,Athens
82,2012,3.638639603,39.2701767,-81.8827139,39009,Athens
82,2010,3.506818099,39.2701767,-81.8827139,39009,Athens
82,2011,3.568169944,39.2701767,-81.8827139,39009,Athens
82,2003,3.348662652,39.2701767,-81.8827139,39009,Athens
82,2001,3.547947501,39.2701767,-81.8827139,39009,Athens
82,2005,3.493112778,39.2701767,-81.8827139,39009,Athens
82,2007,3.403328047,39.2701767,-81.8827139,39009,Athens
82,2008,3.694706389,39.2701767,-81.8827139,39009,Athens
82,2004,3.523767474,39.2701767,-81.8827139,39009,Athens
82,2002,3.557356298,39.2701767,-81.8827139,39009,Athens
83,2006,3.107826348,39.8938347,-81.6718899,39059,Guernsey
83,2011,2.89123851,39.8938347,-81.6718899,39059,Guernsey
83,2010,3.193899026,39.8938347,-81.6718899,39059,Guernsey
83,2005,3.195396506,39.8938347,-81.6718899,39059,Guernsey
83,2013,3.0212047,39.8938347,-81.6718899,39059,Guernsey
83,2009,3.18688355,39.8938347,-81.6718899,39059,Guernsey
83,2002,3.235623162,39.8938347,-81.6718899,39059,Guernsey
83,2008,3.1360244,39.8938347,-81.6718899,39059,Guernsey
83,2007,3.083543678,39.8938347,-81.6718899,39059,Guernsey
83,2001,3.235880603,39.8938347,-81.6718899,39059,Guernsey
83,2012,3.23334084,39.8938347,-81.6718899,39059,Guernsey
83,2000,3.197995053,39.8938347,-81.6718899,39059,Guernsey
85,2001,3.113399684,38.9081057,-83.7588579,39015,Brown
